t,P,Q
0.0,40.0,9.0
0.05,40.33171209952035,9.707415211947787
0.1,40.51594318971663,10.480621131510713
0.15000000000000002,40.5372667817094,11.319827338968418
0.2,40.38224270119744,12.223212348726461
0.25,40.04042863698609,13.186438177168473
0.30000000000000004,39.50542284398309,14.202219002473091
0.35000000000000003,38.77583336530183,15.260014972058183
0.4,37.85604572804857,16.34592926606919
0.45,36.7566550568042,17.442879843002107
0.5,35.494448110180194,18.53109284321363
0.55,34.091869096393836,19.58892250107176
0.6000000000000001,32.57597531745109,20.59394858331635
0.65,30.976970870169357,21.524248420456882
0.7000000000000001,29.32647906401887,22.359700819418595
0.75,27.65575764988388,23.08316561741007
0.8,25.99406374837873,23.68140040573587
0.8500000000000001,24.367337951801154,24.14562074029169
0.9,22.79731148154247,24.47166988605345
0.9500000000000001,21.30106508884048,24.659823543751713
1.0,19.89100176602721,24.71430098167173
1.05,18.575149501201462,24.642579335338695
1.1,17.357689321833583,24.45461207018844
1.1500000000000001,16.23960478279622,24.162040355664207
1.2000000000000002,15.219364922532,23.77746432698447
1.25,14.29357578026694,23.31381664121173
1.3,13.457559460387104,22.783858319194852
1.35,12.705840375801673,22.199799322904084
1.4000000000000001,12.032533864015237,21.573034441851252
1.4500000000000002,11.431642658346007,20.913978364153255
1.5,10.897272470513283,20.231981166084704
1.55,10.423780329971883,19.535305600958086
1.6,10.005869458545224,18.831149375974416
1.6500000000000001,9.638643274287816,18.125698207454864
1.7000000000000002,9.317629305171842,17.424198248760465
1.75,9.038781806496438,16.731039133442764
1.8,8.798469984712746,16.04984118549712
1.85,8.593457070272729,15.383542252872026
1.9000000000000001,8.420874102170611,14.734481124161922
1.9500000000000002,8.278191185057034,14.104475633443597
2.0,8.16318812781137,13.494894401537163
2.0500000000000003,8.073925731264746,12.906721762740634
2.1,8.008718521936544,12.340615838600412
2.15,7.966109391086736,11.796959990931176
2.2,7.944846362389824,11.275908052860727
2.25,7.943861551237995,10.777423828829711
2.3000000000000003,7.962252273677948,10.301315394899936
2.35,7.999264197592962,9.847264736337419
2.4000000000000004,8.054276391151385,9.414853242594251
2.45,8.126788105023007,9.003583549356515
2.5,8.21640711906128,8.612898179442931
2.5500000000000003,8.322839486508025,8.242195393259559
2.6,8.445880516083902,7.890842618043577
2.6500000000000004,8.585406842351627,7.558187785049901
2.7,8.741369445959235,7.243568866218478
2.75,8.913787496775042,6.946321867285248
2.8000000000000003,9.102742903858324,6.665787503012012
2.85,9.30837546626071,6.401316752239442
2.9000000000000004,9.530878527580935,6.152275465707532
2.95,9.770495044867472,5.91804817785455
3.0,10.027513988816512,5.698041254874295
3.0500000000000003,10.302266997224146,5.491685494943104
3.1,10.595125207318498,5.298438282485992
3.1500000000000004,10.906496194923223,5.1177853864116445
3.2,11.236820949387154,4.949242482204525
3.25,11.586570812843496,4.7923564694372125
3.3000000000000003,11.956244310607415,4.646706649499734
3.35,12.346363796334062,4.511905823001952
3.4000000000000004,12.757471830868372,4.3876013622807495
3.45,13.190127207426297,4.273476311649219
3.5,13.644900527730472,4.169250566395256
3.5500000000000003,14.12236922382987,4.074682181025869
3.6,14.623111908382656,3.989568857832677
3.6500000000000004,15.14770192196684,3.9137496685086397
3.7,15.696699929272539,3.847107064271482
3.75,16.27064539657216,3.7895692337451865
3.8000000000000003,16.870046760400562,3.7411128727133143
3.85,17.495370071653483,3.701766435767794
3.9000000000000004,18.147025870108155,3.6716139467838036
3.95,18.82535401153387,3.6507994529505896
4.0,19.530606133067028,3.639532215587205
4.05,20.262925402557386,3.638092739845055
4.1000000000000005,21.02232315465713,3.646839754121293
4.15,21.80865197151972,3.666218257765933
4.2,22.62157472082031,3.696768761238088
4.25,23.460529021162085,3.7391378444539067
4.3,24.324686569021406,3.794090154074332
4.3500000000000005,25.212906738483817,3.8625219452219586
